export_id,nemo_component,dataset_id,source_path,target_path,required_gate,status
NEMO_FUEL_BALANCE,fuel_balance,RW_ENBAL_TOTAL_2015_2024,data/master/normalized/common/RW_ENBAL_TOTAL_2015_2024.csv,data/master/exports/nemo/RW_ENBAL_TOTAL_2015_2024_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_TECH_ACTIVITY,technology_activity,RW_PWR_GEN_TECH_GWH,data/master/normalized/leap/transformation/generation/RW_PWR_GEN_TECH_GWH.csv,data/master/exports/nemo/RW_PWR_GEN_TECH_GWH_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_CAPACITY,capacity,RW_PWR_CAP_TECH_MW,data/master/normalized/leap/transformation/generation/RW_PWR_CAP_TECH_MW.csv,data/master/exports/nemo/RW_PWR_CAP_TECH_MW_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_DEMAND_FUEL_SHARE,demand_fuel_share,RW_RES_COOK_FUEL_SHARE,data/master/normalized/leap/demand/residential/RW_RES_COOK_FUEL_SHARE.csv,data/master/exports/nemo/RW_RES_COOK_FUEL_SHARE_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_FUEL_CONSTRAINT,fuel_constraint,RW_BIOMASS_CHARCOAL_TJ,data/master/normalized/leap/resources/biomass_charcoal/RW_BIOMASS_CHARCOAL_TJ.csv,data/master/exports/nemo/RW_BIOMASS_CHARCOAL_TJ_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_DEMAND_PROXY,demand_proxy,RW_TRANSPORT_FUEL_TJ,data/master/normalized/leap/demand/transport/RW_TRANSPORT_FUEL_TJ.csv,data/master/exports/nemo/RW_TRANSPORT_FUEL_TJ_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_DEMAND_DRIVER,demand_driver,RW_SOCIO_GDP_POP,data/master/normalized/leap/socioeconomic/RW_SOCIO_GDP_POP.csv,data/master/exports/nemo/RW_SOCIO_GDP_POP_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_EMISSION_FACTOR,emission_factor,RW_EF_FUEL_IPCC,data/master/normalized/leap/emissions/RW_EF_FUEL_IPCC.csv,data/master/exports/nemo/RW_EF_FUEL_IPCC_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_COSTS,cost,RW_TECH_COSTS,data/master/normalized/nemo/costs/RW_TECH_COSTS.csv,data/master/exports/nemo/RW_TECH_COSTS_NEMO.csv,sdmx_and_validation,blocked_until_validated
NEMO_CANDIDATE_TECH,candidate_technology,RW_PROJECT_PIPELINE,data/master/normalized/nemo/technologies/RW_PROJECT_PIPELINE.csv,data/master/exports/nemo/RW_PROJECT_PIPELINE_NEMO.csv,sdmx_and_validation,blocked_until_validated

