dataset_id,dataset_name,evidence_id,source_id,institution,source_tier,title,discovered_url,file_type,leap_module,leap_branch,leap_variable,nemo_component,nemo_mapping,years_detected,units_detected,confidence_level,validation_status
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,2d675a9e88c26923,EUCL,EUCL,1,Publications,https://www.reg.rw/media-center/publications/category/esia/?itemPerPage=10&cHash=3edfae710511da3f291c74dd00a8f73a,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,34f9483d1625ad7e,EUCL,EUCL,1,Productive Use of Energy Technologies,https://www.reg.rw/what-we-do/rbf-programs/productive-use-of-energy-technologies/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2026; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,3539820fe5e32b00,EUCL,EUCL,1,Publications,https://www.reg.rw/media-center/publications/category/esf-documents/?itemPerPage=10&cHash=1b2f33d73d6844ab78dea32a8c2f450d,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2026; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,37e8a9b915518a36,EUCL,EUCL,1,Biomass,https://www.reg.rw/what-we-do/biomass/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2030; 2050,kg; rwf,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,3c7e156700e8b51a,EUCL,EUCL,1,Tariffs,https://www.reg.rw/customer-service/tariffs/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2030; 2050,kwh,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,4458301d5669e7d6,EUCL,EUCL,1,Solar home systems,https://www.reg.rw/what-we-do/offgrid-solutions/solar-home-systems/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2016; 2018; 2023; 2024; 2025; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,65fa4490d54b232f,EUCL,EUCL,1,Power Outages,https://www.reg.rw/customer-service/power-outages/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2026; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,8dec88c924dc7129,EUCL,EUCL,1,Electricity Saving Tips,https://www.reg.rw/customer-service/electricity-saving-tips/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,a4790767a5c116d8,EUCL,EUCL,1,Publications,https://www.reg.rw/media-center/publications/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,ab6173ffca98f249,EUCL,EUCL,1,RBF Clean Cooking,https://www.reg.rw/what-we-do/rbf-programs/rbf-clean-cooking/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050,rwf,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,dc29dc12cd80b632,EUCL,EUCL,1,Reports & Plans,https://www.reg.rw/public-information/reports-plans/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,eb30f772b58dbdcf,EUCL,EUCL,1,Publications,https://www.reg.rw/media-center/publications/category/esa/?itemPerPage=10&cHash=be921dc66a566db55899c2895374d342,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2023; 2024; 2025; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,5bfe6b24e1f662fe,REG,REG,1,From Classroom to Power Grid: REG Inspires Primary Students in Energy Careers,https://www.reg.rw/media-center/news-details/news/from-classroom-to-power-grid-reg-inspires-primary-students-in-energy-careers/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025; 2026; 2030; 2050,,B,candidate
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,e5c60c2f37289ff8,REG,REG,1,Tender for Supply of Spare Parts for MUKUNGU PICO HYDROPOWER PLANT(Under Framework Agreement Contract),https://www.reg.rw/public-information/tenders/tenders-details/news/tender-for-supply-of-spare-parts-for-mukungu-pico-hydropower-plantunder-framework-agreement-contrac/,html,Resources,Resources/Biomass,Resource Availability,fuel_constraint,Biomass fuel constraint by year,2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025; 2026; 2030; 2050,%,B,candidate
RW_EF_FUEL_IPCC,Emission factors,82f627efbd5542c0,MININFRA,MININFRA,1,Rwanda and International Solar Alliance Sign Strategic Partnership to Accelerate Solar Power Initiatives,https://www.mininfra.gov.rw/updates/news-details/rwanda-and-international-solar-alliance-sign-strategic-partnership-to-accelerate-solar-power-initiatives-1,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2025; 2026; 2050,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,8329f77729db3986,NISR,NISR,1,Data Portals & E-GDDS/SDDS | National Institute of Statistics of Rwanda,https://statistics.gov.rw/data-portals-e-gddssdds,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2015; 2020; 2030,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,69683aadff0aaf75,REMA,REMA,1,Home,https://www.rema.gov.rw/home,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2019; 2021; 2024; 2025; 2026,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,6dad7c9c809987eb,REMA,REMA,1,African LDCs to host first-ever centralized review of transparency reports in Rwanda,https://www.rema.gov.rw/updates/news-details/african-ldcs-to-host-first-ever-centralized-review-of-transparency-reports-in-rwanda,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2026,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,8b2a75cf8879eb16,REMA,REMA,1,"Agri-exports data for 01-05 June, 2026: Revenues generated: 12,371,585 USD from 10,989 Metric Tons. Details in USD: Coffee:3,141,080 | Tea:3,314,945 | Vegetables:527,708 | Fruits:56,036 | Flowers:38,264 | Diverse& animal products:5,293,552 ---",https://www.rema.gov.rw/home?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=56352&cHash=49d87427e0d920d5e8fe1427a5c94da5,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2026,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,ac7686e69f62d595,REMA,REMA,1,Reports,https://www.rema.gov.rw/resources/reports,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2025; 2026,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,e10a1426ae7273a0,REMA,REMA,1,Conservation Agriculture: A Path to Productive and Climate-Resilient Farming in Rwanda,https://www.rema.gov.rw/updates/news-details/conservation-agriculture-a-path-to-productive-and-climate-resilient-farming-in-rwanda,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2026,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,f012348c28bab6f6,REMA,REMA,1,Rwanda Launches Nyungwe–Ruhango Corridor Restoration Project to Restore Ecosystems and Strengthen Climate Resilience,https://www.rema.gov.rw/updates/news-details/rwanda-launches-nyungwe-ruhango-corridor-restoration-project-to-restore-ecosystems-and-strengthen-climate-resilience,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2025; 2026; 2030; 2050,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,fe8f648fb77766ff,REMA,REMA,1,Publications,https://www.rema.gov.rw/resources/publications,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2020; 2021; 2022; 2025; 2026; 2030,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,e0206d153b970900,MINECOFIN,MINECOFIN,2,Directors of Climate Finance in EAC Convene in Kigali to Accelerate Climate Finance for a Resilient Future.,https://www.minecofin.gov.rw/news-detail/directors-of-climate-finance-in-eac-convene-in-kigali-to-accelerate-climate-finance-for-a-resilient-future,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2025; 2026,,B,candidate
RW_EF_FUEL_IPCC,Emission factors,d6e955fa2f7063c9,EPD,EPD Rwanda,3,Energy Private Developers – FROM CLIMATE POLICY TO CLIMATE ACTION,https://epdrwanda.com/,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2021; 2024; 2025; 2026,%; kg; rwf,D,candidate
RW_EF_FUEL_IPCC,Emission factors,0cc45b365c4921f7,WRI,WRI,3,Building Food and Energy Resilience After Iran War | World Resources Institute Click to see more Click to see more,https://www.wri.org/insights/food-energy-resilience-iran-war,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2022; 2023; 2026,,D,candidate
RW_EF_FUEL_IPCC,Emission factors,27504899cbbc9262,WRI,WRI,3,Climate Vulnerability and Risk for Small Hydropower Plants (SHP) in Colombia: A Methodological Proposal for Analysis | World Resources Institute Click to see more Click to see more,https://www.wri.org/research/climate-vulnerability-and-risk-small-hydropower-plants-shp-colombia-methodological,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2026,,D,candidate
RW_EF_FUEL_IPCC,Emission factors,2a75da10bde00e57,WRI,WRI,3,Are G20 Countries on Track to Meet Their Climate Goals? | World Resources Institute Click to see more Click to see more,https://www.wri.org/insights/g20-climate-progress-reports-BTR-analysis,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2015; 2018; 2020; 2021; 2022; 2023; 2024; 2025; 2026; 2030; 2035; 2040,,D,candidate
RW_EF_FUEL_IPCC,Emission factors,43484985187c5c8f,WRI,WRI,3,7 Ocean-Based Solutions to Fight Climate Change | World Resources Institute Click to see more Click to see more,https://www.wri.org/insights/ocean-based-climate-change-solutions,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2019; 2020; 2021; 2023; 2025; 2026; 2030; 2040; 2050,mw,D,candidate
RW_EF_FUEL_IPCC,Emission factors,67fd85d9e057c2c5,WRI,WRI,3,Nature-Based Solutions Build Climate Resilience in Central Africa | World Resources Institute Click to see more Click to see more,https://www.wri.org/insights/ruzizi-basin-restoration-nature-based-solutions,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2015; 2020; 2023; 2025; 2026,,D,candidate
RW_EF_FUEL_IPCC,Emission factors,8073b688c5a9ad58,WRI,WRI,3,Public Transit Is Struggling to Keep Pace with Aging Populations | World Resources Institute Click to see more Click to see more,https://www.wri.org/insights/aging-populations-city-transportation,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2019; 2022; 2024; 2026; 2035; 2050,,D,candidate
RW_EF_FUEL_IPCC,Emission factors,81af2414539e1b80,WRI,WRI,3,WRI Polsky Center for the Global Energy Transition | World Resources Institute Click to see more Click to see more Click to see more,https://www.wri.org/energy,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2023; 2026,,D,candidate
RW_EF_FUEL_IPCC,Emission factors,8fc6740f184097f1,WRI,WRI,3,Data | World Resources Institute Click to see more Click to see more,https://www.wri.org/data,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2025; 2026,,D,candidate
RW_EF_FUEL_IPCC,Emission factors,9602f574d1378c54,WRI,WRI,3,Nature-Based Solutions Help African Cities Fight Floods | World Resources Institute Click to see more Click to see more,https://www.wri.org/insights/african-cities-use-nature-fight-floods-and-climate-change,html,Effects,Effects/Emissions,Emission Factor,emission_factor,Emission factor by fuel or technology,2020; 2021; 2022; 2023; 2024; 2025; 2026; 2030,,D,candidate
